date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:00	1994/1994	---M--	200	added ('OK')	image/gif	etag:%22955d6f40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/scholen.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/scholen.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:20:01	1062/1062	---M--	200	added ('OK')	image/gif	etag:%221fbe9040cef8ca1:5897%22	http://www.clb-ami1.be/_derived/scholen.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/scholen.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:20:01	13078/13078	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/brecht.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/brecht.htm	(from http://www.clb-ami1.be/)
09:20:01	10168/10168	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/nieuwe_pagina_1.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/nieuwe_pagina_1.htm	(from http://www.clb-ami1.be/)
09:20:01	13327/13327	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/st_job_in't_goor.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/st_job_in't_goor.htm	(from http://www.clb-ami1.be/)
09:20:02	12893/12893	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/oostmalle.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/oostmalle.htm	(from http://www.clb-ami1.be/)
09:20:02	16105/16105	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/westmalle.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/westmalle.htm	(from http://www.clb-ami1.be/)
09:20:02	13446/13446	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/vorselaar.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/vorselaar.htm	(from http://www.clb-ami1.be/)
09:20:02	10057/10057	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/grobbendonk.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/grobbendonk.htm	(from http://www.clb-ami1.be/)
09:20:03	10180/10180	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/bouwel.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/bouwel.htm	(from http://www.clb-ami1.be/)
